number_of_trucks,number_of_loaders,unload_points,external_scale_load,road_delay_percent,total_trips,total_tons,average_cycle_time,avg_travel_time,avg_road_delay_time,avg_wait_tare,avg_wait_loader,avg_wait_gross,avg_wait_unload,max_wait_tare,max_wait_loader,max_wait_gross,max_wait_unload,loader_utilization,scale_internal_utilization,scale_utilization,unload_utilization,bottleneck
15,3,1,0,30,92,2531.8,200.2,24.55,3.11,5.99,0.89,6.59,134.1,60.0,60.0,62.3,203.4,21.82,43.54,43.54,85.31,unload
16,3,1,0,30,89,2450.6,219.4,24.85,3.15,7.31,0.91,7.12,150.7,61.3,60.0,36.5,224.6,21.56,43.12,43.12,84.28,unload
17,3,1,0,30,90,2472.6,232.7,25.22,3.33,7.37,0.74,7.91,163.17,61.9,60.0,40.0,225.2,21.65,43.54,43.54,84.76,unload
18,3,1,0,30,89,2451.6,247.4,25.05,3.28,8.55,0.32,10.33,174.77,60.6,15.0,61.7,241.3,21.91,43.96,43.96,84.11,unload
19,3,1,0,30,87,2390.0,266.5,24.61,3.32,8.59,0.93,10.94,192.69,61.1,60.0,59.3,264.4,21.74,43.54,43.54,83.66,unload
20,3,1,0,30,89,2449.1,274.5,25.23,3.45,9.18,1.51,11.16,198.88,59.0,60.0,48.4,275.6,22.56,44.38,44.38,84.01,unload
4,3,2,0,0,73,2010.2,58.1,21.5,0.0,4.75,0.82,0.58,2.03,58.3,60.0,5.2,38.4,15.3,30.83,30.83,34.01,unload
5,3,2,0,0,89,2446.6,59.0,21.41,0.0,4.74,0.84,1.94,1.59,62.9,60.0,60.4,39.2,19.2,38.33,38.33,42.2,unload
6,3,2,0,0,105,2886.6,60.8,21.63,0.0,3.17,1.72,1.83,3.9,55.3,60.0,60.0,60.5,22.51,45.21,45.21,49.63,unload
7,3,2,0,0,121,3322.8,61.0,21.66,0.0,2.76,0.99,2.01,5.15,60.4,60.0,62.7,63.2,26.2,52.5,52.5,57.32,unload
8,3,2,0,0,139,3821.0,61.4,21.43,0.0,3.49,0.99,1.76,5.33,62.8,60.0,60.0,61.1,29.9,59.79,59.79,65.24,unload
9,3,2,0,0,152,4180.8,63.5,21.57,0.0,3.66,1.3,2.24,6.22,56.8,60.0,61.1,63.2,33.02,65.62,65.62,71.91,unload
10,3,2,0,0,166,4562.6,65.0,21.58,0.0,4.51,1.2,2.82,6.45,60.4,60.0,65.1,62.7,36.04,71.67,71.67,78.45,unload
11,3,2,0,0,176,4841.1,67.9,21.61,0.0,4.68,1.12,3.27,8.69,60.6,60.0,60.9,65.3,38.11,76.25,76.25,83.52,unload
12,3,2,0,0,179,4924.8,74.3,21.51,0.0,5.46,1.18,4.74,12.75,62.4,60.0,66.5,72.0,39.34,77.71,77.71,85.34,unload
13,3,2,0,0,180,4949.5,81.0,21.51,0.0,4.86,1.2,4.73,20.37,61.4,60.0,63.7,81.3,38.89,78.75,78.75,85.27,unload
14,3,2,0,0,179,4922.4,89.2,21.63,0.0,5.14,1.18,4.99,27.68,64.3,60.0,65.7,87.8,39.39,78.75,78.75,85.0,unload
15,3,2,0,0,181,4971.9,95.7,21.42,0.0,6.35,0.71,5.09,33.76,63.2,60.0,62.0,91.6,40.05,79.79,79.79,85.13,unload
16,3,2,0,0,178,4891.5,104.8,21.58,0.0,6.53,1.16,5.85,41.13,61.3,60.0,60.0,99.0,39.83,79.17,79.17,84.61,unload
17,3,2,0,0,179,4918.8,112.4,21.46,0.0,6.53,0.79,6.41,48.6,62.5,60.0,60.9,106.9,40.09,79.38,79.38,85.22,unload
18,3,2,0,0,178,4894.0,119.9,21.53,0.0,6.05,1.45,7.0,55.37,63.0,60.0,63.1,115.3,39.96,80.0,80.0,84.39,unload
19,3,2,0,0,178,4892.8,127.3,21.58,0.0,6.35,1.5,6.73,62.66,59.6,60.0,61.7,121.3,40.58,80.42,80.42,84.34,unload
20,3,2,0,0,177,4874.7,135.4,21.54,0.0,7.18,1.23,8.54,68.42,62.0,60.0,65.9,127.3,40.09,80.42,80.42,84.16,unload
4,3,2,0,5,71,1951.9,59.2,22.2,0.55,4.41,1.69,1.17,1.26,61.2,60.0,59.8,35.6,15.19,30.42,30.42,34.25,unload
5,3,2,0,5,89,2445.1,59.0,22.07,0.54,2.47,2.02,0.62,3.34,47.8,60.0,14.1,60.0,19.4,38.54,38.54,42.12,unload
6,3,2,0,5,105,2882.4,60.8,22.12,0.55,3.54,0.71,0.94,5.1,57.2,59.7,6.7,64.5,22.36,45.0,45.0,49.52,unload
7,3,2,0,5,122,3356.8,61.0,22.04,0.56,2.98,1.48,1.1,4.96,58.8,60.0,15.0,64.9,25.99,52.71,52.71,57.76,unload
8,3,2,0,5,137,3767.4,62.4,21.77,0.49,3.72,0.56,1.57,6.35,60.0,60.0,17.5,67.7,29.38,58.96,58.96,64.72,unload
9,3,2,0,5,151,4148.2,64.2,22.29,0.56,3.85,0.89,2.8,5.87,60.0,60.0,62.8,60.0,32.71,65.21,65.21,71.49,unload
10,3,2,0,5,166,4566.7,64.9,22.34,0.54,4.86,0.48,2.64,6.25,63.6,60.0,63.3,65.4,35.6,71.67,71.67,78.35,unload
11,3,2,0,5,175,4808.7,68.7,21.89,0.54,5.7,0.7,3.53,8.24,65.9,60.0,59.7,72.6,37.96,75.62,75.62,83.61,unload
12,3,2,0,5,180,4959.4,73.9,22.04,0.55,5.46,0.75,4.11,12.97,63.7,60.0,62.3,71.8,38.92,77.92,77.92,85.81,unload
13,3,2,0,5,182,5010.1,80.2,21.97,0.55,4.78,1.08,3.44,20.54,63.0,60.0,28.0,79.1,39.75,79.58,79.58,85.71,unload
14,3,2,0,5,180,4946.1,89.0,22.13,0.55,5.62,0.85,5.36,26.58,64.2,60.0,65.9,88.0,39.43,78.96,78.96,85.5,unload
15,3,2,0,5,181,4975.8,95.8,21.93,0.51,5.66,1.11,5.28,33.39,63.0,60.0,64.8,95.5,40.0,79.79,79.79,85.23,unload
16,3,2,0,5,180,4951.7,103.8,21.8,0.55,6.13,1.56,5.6,40.28,61.7,60.0,36.7,101.9,39.81,80.0,80.0,85.17,unload
17,3,2,0,5,178,4897.2,112.7,21.85,0.53,6.08,0.81,5.59,49.75,63.5,60.0,65.4,111.2,39.79,79.38,79.38,84.82,unload
18,3,2,0,5,178,4895.7,120.1,22.03,0.52,6.29,1.22,6.73,55.28,60.0,60.0,62.4,113.6,39.99,80.0,80.0,84.46,unload
19,3,2,0,5,178,4893.4,127.8,21.94,0.49,7.25,1.16,7.63,61.24,64.4,60.0,62.7,121.7,40.45,80.0,80.0,84.6,unload
20,3,2,0,5,178,4893.7,135.4,22.03,0.51,7.03,1.54,7.69,68.6,58.5,60.0,62.8,128.0,40.35,80.42,80.42,84.43,unload
4,3,2,0,15,70,1923.1,60.5,23.3,1.69,4.5,1.71,0.38,1.84,57.5,60.0,6.7,60.0,15.24,30.0,30.0,33.52,unload
5,3,2,0,15,87,2390.2,61.1,23.58,1.81,2.7,1.38,0.55,4.3,60.7,60.0,4.4,60.0,18.75,37.29,37.29,41.08,unload
6,3,2,0,15,104,2859.5,61.2,22.97,1.66,2.58,2.3,0.69,4.13,51.5,60.0,6.9,63.6,22.69,45.0,45.0,49.08,unload
7,3,2,0,15,120,3292.9,62.0,23.0,1.57,3.29,1.26,1.18,4.9,60.0,60.0,9.8,60.0,26.08,52.08,52.08,56.09,unload
8,3,2,0,15,135,3707.4,63.1,22.86,1.62,3.42,0.9,1.49,5.9,55.6,60.0,15.0,66.4,29.39,58.75,58.75,64.5,unload
9,3,2,0,15,149,4097.0,65.1,23.08,1.59,4.37,1.32,2.36,5.51,65.2,60.0,64.4,64.4,32.02,64.58,64.58,70.39,unload
10,3,2,0,15,161,4430.4,67.2,23.22,1.68,4.46,1.26,3.06,6.63,61.3,60.0,61.5,63.9,35.14,70.0,70.0,76.83,unload
11,3,2,0,15,171,4696.1,70.4,23.46,1.62,4.66,1.59,3.38,8.71,59.3,60.0,63.4,68.1,37.39,74.38,74.38,81.56,unload
12,3,2,0,15,179,4920.2,74.1,23.48,1.73,4.66,1.19,4.0,12.26,62.3,60.0,62.7,73.3,38.82,77.92,77.92,85.1,unload
13,3,2,0,15,181,4972.7,80.8,23.33,1.69,5.32,0.87,3.87,18.87,62.0,60.0,27.4,79.9,39.86,78.75,78.75,85.72,unload
14,3,2,0,15,180,4957.2,88.9,22.83,1.57,6.06,1.11,5.52,24.92,63.7,60.0,65.9,83.9,39.45,78.75,78.75,85.31,unload
15,3,2,0,15,180,4951.6,96.2,23.28,1.65,6.08,0.77,5.26,32.35,64.9,60.0,62.9,90.6,39.63,79.58,79.58,85.31,unload
16,3,2,0,15,179,4919.0,104.7,22.63,1.54,6.01,1.53,5.63,40.44,58.2,60.0,61.8,99.0,39.65,79.17,79.17,84.99,unload
17,3,2,0,15,179,4920.9,111.7,22.98,1.53,6.71,0.79,7.31,45.39,63.1,60.0,63.9,111.1,40.22,80.0,80.0,84.72,unload
18,3,2,0,15,179,4923.3,119.4,23.07,1.58,6.97,0.44,7.46,52.99,64.9,59.6,65.4,111.6,40.17,80.21,80.21,84.56,unload
19,3,2,0,15,179,4921.8,126.9,22.87,1.65,6.76,1.13,7.14,60.55,61.7,60.0,61.2,120.9,40.26,80.62,80.62,84.52,unload
20,3,2,0,15,177,4869.4,135.2,23.08,1.61,7.48,1.21,8.07,66.91,62.7,60.0,63.7,129.2,40.01,80.42,80.42,83.72,unload
4,3,2,0,30,70,1930.5,61.4,24.83,3.37,4.95,0.0,0.26,3.24,61.6,0.0,5.8,60.0,14.71,30.0,30.0,32.4,unload
5,3,2,0,30,86,2363.7,62.4,24.56,3.04,3.66,0.7,0.62,4.47,59.8,60.0,4.8,65.5,18.4,36.88,36.88,40.05,unload
6,3,2,0,30,102,2804.4,63.2,24.67,3.26,3.91,0.0,1.1,5.01,60.0,0.2,15.0,64.8,22.06,43.96,43.96,47.81,unload
7,3,2,0,30,116,3189.4,65.3,24.84,3.26,3.24,1.16,1.34,6.1,56.6,60.0,18.3,66.8,24.79,49.79,49.79,55.5,unload
8,3,2,0,30,133,3658.7,64.7,24.65,3.08,4.15,0.01,1.3,6.18,60.0,0.9,13.0,65.3,28.73,57.5,57.5,63.17,unload
9,3,2,0,30,147,4034.7,66.3,24.53,3.23,3.72,1.03,2.2,6.27,56.8,60.0,60.5,64.2,31.86,63.33,63.33,69.37,unload
10,3,2,0,30,159,4376.0,68.3,24.81,3.18,3.9,1.61,3.19,6.3,60.3,60.0,62.7,64.8,34.47,68.96,68.96,75.6,unload
11,3,2,0,30,171,4693.5,70.6,24.97,3.32,4.85,1.16,3.18,7.92,61.2,60.0,59.9,68.2,37.3,74.17,74.17,80.83,unload
12,3,2,0,30,178,4893.2,74.5,25.38,3.39,5.26,1.11,3.76,10.51,63.0,60.0,24.9,75.6,38.93,77.5,77.5,84.18,unload
13,3,2,0,30,179,4918.6,81.6,24.33,3.09,5.47,0.85,4.64,17.84,62.7,60.0,62.1,77.7,39.09,78.33,78.33,85.25,unload
14,3,2,0,30,181,4977.5,88.5,24.31,3.11,5.87,1.1,5.55,23.16,62.8,60.0,60.9,85.1,39.85,79.17,79.17,85.54,unload
15,3,2,0,30,181,4974.0,95.4,24.7,3.19,6.24,0.78,5.02,30.44,62.2,60.0,33.7,89.2,39.99,80.0,80.0,84.66,unload
16,3,2,0,30,178,4897.3,105.2,24.67,3.14,6.15,1.23,5.78,38.79,61.7,60.0,61.2,98.2,39.44,78.96,78.96,84.87,unload
17,3,2,0,30,179,4919.8,111.3,24.35,3.16,6.51,0.8,6.71,44.52,62.8,60.0,66.5,101.8,40.26,80.21,80.21,84.19,unload
18,3,2,0,30,176,4836.1,121.1,25.07,3.39,6.28,1.52,6.88,52.84,60.7,60.0,63.8,112.0,39.58,79.17,79.17,83.94,unload
19,3,2,0,30,174,4787.4,130.1,24.47,3.16,7.13,1.08,7.68,61.06,61.6,60.0,66.4,124.2,39.58,78.75,78.75,83.78,unload
20,3,2,0,30,176,4836.4,137.2,24.52,3.02,7.63,1.07,7.76,67.7,61.8,60.0,62.0,131.5,39.61,79.58,79.58,84.34,unload
4,3,3,0,0,72,1979.8,57.6,21.5,0.0,1.57,2.08,1.2,2.79,52.4,60.0,59.2,60.0,15.84,31.46,31.46,22.72,scale
5,3,3,0,0,90,2475.4,59.0,21.02,0.0,5.46,2.02,1.06,0.81,61.5,60.0,5.3,39.3,19.3,38.12,38.12,28.65,scale
6,3,3,0,0,106,2917.1,59.9,21.53,0.0,3.69,0.71,2.09,3.64,57.2,60.0,60.0,60.0,22.61,46.04,46.04,32.8,scale
7,3,3,0,0,121,3321.6,61.0,21.51,0.0,4.85,1.49,2.45,2.26,57.1,60.0,60.1,60.0,26.19,52.71,52.71,38.49,scale
8,3,3,0,0,139,3818.0,61.1,21.63,0.0,4.07,0.55,1.81,4.47,63.5,60.0,12.6,62.6,30.0,60.21,60.21,43.9,scale
9,3,3,0,0,154,4239.0,61.9,21.32,0.0,4.72,0.79,2.55,4.07,57.2,60.0,17.1,61.2,33.64,66.88,66.88,48.68,scale
10,3,3,0,0,172,4726.5,62.1,21.17,0.0,4.15,0.54,3.2,4.46,61.8,60.0,61.3,60.0,37.12,73.96,73.96,54.6,scale
11,3,3,0,0,183,5025.0,64.5,21.5,0.0,4.94,0.83,4.2,4.55,64.0,60.0,66.8,62.4,39.58,79.38,79.38,58.25,scale
12,3,3,0,0,196,5393.0,66.4,21.57,0.0,6.12,1.03,4.6,4.62,64.5,60.0,61.8,61.3,42.41,84.58,84.58,61.7,scale
13,3,3,0,0,203,5589.4,70.0,21.39,0.0,7.69,0.75,6.73,5.11,65.9,60.0,63.3,65.3,43.91,87.92,87.92,63.69,scale
14,3,3,0,0,205,5634.8,76.0,21.53,0.0,10.6,0.98,9.79,4.55,66.9,60.0,69.4,62.2,44.23,88.54,88.54,65.25,scale
15,3,3,0,0,204,5598.7,82.7,21.45,0.0,13.72,1.04,13.25,4.85,70.3,60.0,72.7,61.3,44.49,88.75,88.75,64.25,scale
16,3,3,0,0,204,5614.4,89.2,21.4,0.0,17.23,0.6,17.14,4.42,76.1,60.0,75.2,60.0,44.24,88.75,88.75,64.74,scale
17,3,3,0,0,205,5639.6,95.7,21.46,0.0,19.74,1.35,19.98,4.67,78.4,60.0,80.4,61.5,44.64,88.96,88.96,64.98,scale
18,3,3,0,0,206,5663.2,101.8,21.56,0.0,22.69,1.0,23.23,4.9,81.4,60.0,81.7,60.0,45.19,89.38,89.38,64.94,scale
19,3,3,0,0,206,5661.3,108.4,21.4,0.0,25.9,1.04,26.1,5.36,83.2,60.0,84.8,60.0,45.08,89.38,89.38,65.49,scale
20,3,3,0,0,206,5657.5,114.6,21.38,0.0,28.52,1.32,29.67,5.26,87.0,60.0,86.4,61.8,45.03,89.79,89.79,65.19,scale
4,3,3,0,5,72,1980.2,58.9,22.55,0.63,4.15,2.5,0.65,0.67,60.0,60.0,14.0,43.3,15.15,30.42,30.42,22.39,scale
5,3,3,0,5,87,2391.3,60.4,21.99,0.5,5.17,0.01,1.3,3.49,60.8,0.9,7.4,60.0,19.17,38.12,38.12,27.22,scale
6,3,3,0,5,106,2915.4,59.9,22.23,0.5,3.64,0.57,2.2,2.92,52.9,60.0,60.1,65.0,22.33,45.42,45.42,33.43,scale
7,3,3,0,5,122,3353.2,61.0,22.31,0.54,2.88,1.48,1.26,4.5,60.2,60.0,9.8,67.7,26.33,52.5,52.5,38.53,scale
8,3,3,0,5,140,3849.3,61.0,21.91,0.55,3.77,1.28,1.7,3.87,58.7,60.0,15.0,63.0,30.06,59.79,59.79,43.52,scale
9,3,3,0,5,153,4210.1,63.1,21.7,0.51,4.66,0.5,3.19,4.55,59.3,60.0,60.4,60.0,33.35,66.04,66.04,47.67,scale
10,3,3,0,5,170,4679.0,63.0,21.87,0.54,4.35,0.73,3.01,4.65,59.4,60.0,60.0,60.0,36.53,73.12,73.12,53.61,scale
11,3,3,0,5,183,5031.3,64.8,22.01,0.55,4.74,0.78,4.36,4.29,57.6,60.0,63.0,63.2,39.54,79.17,79.17,57.9,scale
12,3,3,0,5,193,5299.6,67.3,21.99,0.53,6.38,1.03,5.2,4.12,65.0,60.0,62.1,61.4,41.84,83.75,83.75,61.7,scale
13,3,3,0,5,201,5530.0,70.9,21.96,0.5,8.3,0.81,6.4,4.89,63.3,60.0,62.5,62.9,44.05,87.08,87.08,63.17,scale
14,3,3,0,5,204,5608.8,76.5,22.34,0.54,9.9,0.76,9.33,5.63,65.4,60.0,65.4,65.3,43.89,88.33,88.33,64.27,scale
15,3,3,0,5,204,5607.8,83.0,21.92,0.51,13.96,0.75,12.49,5.35,70.8,60.0,68.8,60.9,44.74,88.33,88.33,64.45,scale
16,3,3,0,5,205,5639.3,89.2,22.03,0.5,16.85,0.69,16.15,5.06,75.0,60.0,72.4,65.2,44.38,88.96,88.96,64.05,scale
17,3,3,0,5,205,5636.2,95.7,21.98,0.57,19.03,1.55,19.38,5.26,78.1,60.0,77.8,62.9,44.7,89.17,89.17,64.81,scale
18,3,3,0,5,205,5632.9,102.0,22.07,0.56,23.15,1.0,22.16,4.94,80.5,60.0,81.1,60.0,45.35,89.38,89.38,65.69,scale
19,3,3,0,5,206,5661.6,108.2,22.42,0.53,26.03,0.68,25.21,5.33,84.6,60.0,85.0,60.0,44.98,89.58,89.58,65.36,scale
20,3,3,0,5,205,5635.7,115.0,22.24,0.53,28.67,1.05,28.86,5.64,87.4,60.0,85.0,62.2,45.04,89.58,89.58,64.82,scale
4,3,3,0,15,71,1954.1,60.1,23.02,1.66,3.5,2.73,2.43,0.02,60.9,60.0,62.1,1.3,14.98,30.0,30.0,22.35,scale
5,3,3,0,15,86,2365.6,61.7,23.33,1.75,3.69,1.4,1.23,3.58,56.9,60.0,6.4,63.7,18.65,37.29,37.29,27.31,scale
6,3,3,0,15,103,2829.5,61.8,23.08,1.53,4.73,0.59,1.51,3.36,57.8,60.0,15.0,61.0,22.47,44.79,44.79,32.48,scale
7,3,3,0,15,122,3350.3,61.5,23.12,1.58,2.62,2.11,1.32,3.94,54.6,60.0,9.5,65.8,26.15,52.29,52.29,38.0,scale
8,3,3,0,15,135,3714.6,62.9,23.04,1.64,4.06,1.34,1.62,4.23,60.0,60.0,12.6,63.2,29.92,59.17,59.17,42.99,scale
9,3,3,0,15,152,4174.7,64.0,23.21,1.6,4.17,0.91,2.56,4.71,60.0,60.0,15.9,60.0,32.75,65.21,65.21,47.56,scale
10,3,3,0,15,164,4511.1,65.5,23.24,1.62,4.45,1.12,3.94,4.44,60.1,60.0,63.0,60.0,35.67,71.46,71.46,51.76,scale
11,3,3,0,15,181,4985.3,65.9,23.39,1.71,5.62,0.44,3.87,4.22,66.7,60.0,62.8,60.0,38.91,77.92,77.92,56.73,scale
12,3,3,0,15,190,5224.4,68.6,23.34,1.73,6.1,1.46,4.62,4.57,64.6,60.0,63.3,64.3,41.37,82.5,82.5,59.8,scale
13,3,3,0,15,199,5472.2,71.7,23.12,1.66,7.6,1.03,6.33,5.01,65.8,60.0,64.9,63.6,43.48,86.46,86.46,63.16,scale
14,3,3,0,15,203,5582.5,76.5,23.03,1.58,9.51,1.06,9.05,5.38,66.4,60.0,63.5,61.5,44.41,88.33,88.33,64.25,scale
15,3,3,0,15,204,5615.0,83.1,23.43,1.65,12.72,1.04,12.08,5.33,71.4,60.0,69.7,62.2,44.41,88.33,88.33,64.63,scale
16,3,3,0,15,204,5609.5,89.5,23.18,1.67,16.21,0.99,16.07,4.51,75.6,60.0,76.7,66.5,44.6,88.75,88.75,64.42,scale
17,3,3,0,15,206,5665.4,95.5,22.99,1.58,18.83,1.07,18.69,5.43,77.6,60.0,78.9,63.8,44.66,89.17,89.17,64.94,scale
18,3,3,0,15,204,5604.1,102.4,23.31,1.6,21.88,1.31,22.02,5.4,81.9,60.0,81.2,61.1,44.92,89.17,89.17,64.84,scale
19,3,3,0,15,205,5630.8,108.5,23.2,1.61,25.63,0.72,25.71,4.78,83.8,60.0,84.2,63.2,45.34,89.38,89.38,64.63,scale
20,3,3,0,15,205,5640.4,115.0,22.94,1.53,28.54,0.73,28.24,6.01,84.7,60.0,84.7,60.7,45.25,89.58,89.58,64.93,scale
4,3,3,0,30,69,1901.1,61.8,24.69,3.4,4.24,0.01,1.41,2.85,60.1,0.5,59.9,60.0,14.97,29.79,29.79,21.66,scale
5,3,3,0,30,86,2364.1,62.7,25.07,3.39,2.59,0.87,1.21,4.15,50.1,60.0,60.0,64.4,18.5,36.88,36.88,27.3,scale
6,3,3,0,30,102,2801.4,63.5,24.49,3.02,2.99,0.74,1.27,5.45,61.3,60.0,15.0,63.0,21.98,43.75,43.75,31.97,scale
7,3,3,0,30,117,3218.6,63.8,24.84,3.25,3.53,0.64,2.01,4.41,59.2,60.0,62.2,61.2,25.51,51.25,51.25,36.47,scale
8,3,3,0,30,133,3654.3,64.7,24.55,3.12,3.79,0.45,1.84,5.67,60.0,59.2,12.9,61.2,28.72,57.5,57.5,41.88,scale
9,3,3,0,30,147,4042.8,66.3,24.35,3.03,3.39,0.93,3.88,5.2,63.7,60.0,63.9,60.0,31.96,63.12,63.12,46.67,scale
10,3,3,0,30,163,4483.4,66.5,24.9,3.38,4.14,0.77,3.42,4.75,63.2,60.0,62.5,60.0,35.46,70.42,70.42,51.64,scale
11,3,3,0,30,177,4862.0,67.7,24.71,3.2,5.37,0.7,3.83,4.71,63.6,60.0,65.0,60.0,38.56,76.46,76.46,55.03,scale
12,3,3,0,30,187,5143.1,70.2,24.72,3.28,6.52,0.84,4.88,4.62,65.5,60.0,62.3,60.7,40.89,81.25,81.25,59.44,scale
13,3,3,0,30,196,5381.8,73.4,24.63,3.18,7.8,1.08,6.72,4.61,68.2,60.0,66.1,63.6,42.57,85.0,85.0,62.12,scale
14,3,3,0,30,202,5552.8,77.1,24.53,3.06,9.67,1.08,8.38,4.81,65.6,60.0,63.2,61.3,44.15,87.71,87.71,64.33,scale
15,3,3,0,30,204,5605.3,83.3,24.5,3.11,12.39,0.67,11.44,5.72,68.1,60.0,69.8,61.8,44.34,88.33,88.33,64.74,scale
16,3,3,0,30,205,5630.7,89.5,24.29,3.09,15.4,1.06,15.8,4.59,72.4,60.0,75.2,60.0,44.4,88.75,88.75,63.69,scale
17,3,3,0,30,204,5608.0,96.4,25.01,3.46,18.48,0.91,18.15,5.43,77.8,60.0,76.4,62.3,44.61,88.75,88.75,63.77,scale
18,3,3,0,30,204,5607.2,102.8,24.78,3.31,21.27,1.01,21.22,6.1,82.9,60.0,78.5,62.9,44.59,88.96,88.96,64.0,scale
19,3,3,0,30,205,5645.9,109.0,24.58,3.04,24.68,1.1,24.95,5.09,82.3,60.0,84.9,60.0,45.26,89.17,89.17,64.98,scale
20,3,3,0,30,205,5632.2,115.4,24.82,3.13,27.37,0.98,28.41,5.28,84.3,60.0,83.6,62.1,45.02,89.38,89.38,65.12,scale
4,1,1,5,0,70,1925.4,60.8,22.21,0.0,1.83,1.43,1.26,5.81,56.9,60.0,60.0,64.5,44.58,30.21,34.58,64.81,unload
5,1,1,5,0,85,2341.5,62.9,21.43,0.0,3.73,1.69,1.31,6.23,59.2,60.0,62.2,66.7,54.83,36.67,41.04,80.58,unload
6,1,1,5,0,91,2503.4,72.3,21.62,0.0,3.72,2.69,1.04,14.57,56.8,60.0,6.6,73.7,60.43,39.79,44.17,86.8,unload
7,1,1,5,0,91,2507.3,87.1,21.47,0.0,4.34,2.24,1.6,28.92,60.1,60.0,60.0,83.7,59.97,40.21,44.58,86.48,unload
8,1,1,5,0,91,2503.7,101.8,21.79,0.0,4.35,3.5,1.0,42.65,58.0,60.0,12.9,102.8,61.27,40.62,45.0,86.34,unload
9,1,1,5,0,91,2503.3,117.2,21.6,0.0,4.58,3.74,1.17,57.43,57.7,60.0,15.5,116.8,61.78,40.62,45.0,86.81,unload
10,1,1,5,0,91,2502.1,132.0,21.38,0.0,4.19,4.89,1.12,71.78,56.5,60.0,17.7,127.4,62.54,41.04,45.42,86.72,unload
11,1,1,5,0,90,2476.0,147.1,21.07,0.0,5.17,4.74,2.12,85.33,62.3,60.0,60.0,142.7,62.47,41.25,45.62,85.99,unload
12,1,1,5,0,90,2478.0,161.9,21.12,0.0,5.48,6.13,1.58,98.95,59.0,63.9,24.0,156.4,62.84,41.46,45.83,85.89,unload
13,1,1,5,0,90,2472.9,176.1,21.71,0.0,5.82,7.42,1.53,111.02,58.6,70.5,26.5,171.5,63.09,42.08,46.46,85.48,unload
14,1,1,5,0,91,2507.2,188.8,21.55,0.0,6.25,8.95,1.83,121.81,54.7,79.3,29.9,179.7,64.18,42.71,47.08,85.73,unload
15,1,1,5,0,90,2469.8,203.0,21.85,0.0,6.31,9.27,3.3,133.86,62.5,81.7,62.0,195.8,64.77,43.12,47.5,85.06,unload
16,1,1,5,0,89,2442.7,220.9,21.58,0.0,7.21,10.87,2.1,150.49,60.3,89.7,36.0,212.0,64.51,42.71,47.08,84.98,unload
17,1,1,5,0,89,2444.8,234.7,21.77,0.0,7.81,13.86,2.36,160.33,60.0,97.7,39.3,228.5,64.68,43.12,47.5,85.1,unload
18,1,1,5,0,90,2476.5,244.0,21.53,0.0,8.43,16.88,3.22,165.59,60.0,105.1,62.6,236.8,65.94,44.38,48.75,84.5,unload
19,1,1,5,0,89,2441.5,262.2,21.56,0.0,8.38,20.09,3.69,179.92,54.1,110.8,61.8,253.6,65.63,43.96,48.33,85.03,unload
20,1,1,5,0,89,2444.7,274.5,21.5,0.0,9.56,22.3,3.3,189.19,57.0,116.2,47.7,263.0,67.94,44.58,48.96,84.38,unload
4,1,1,5,5,70,1926.7,60.5,22.19,0.61,2.52,2.32,0.32,4.72,55.7,60.0,6.4,60.0,45.72,30.21,34.58,66.31,unload
5,1,1,5,5,85,2336.8,63.1,22.02,0.51,2.52,2.4,1.24,6.62,51.7,60.0,62.6,62.0,54.64,36.46,40.83,79.99,unload
6,1,1,5,5,91,2501.5,72.4,21.58,0.55,3.49,2.44,1.5,14.83,57.7,60.0,62.9,75.9,58.92,39.79,44.17,86.9,unload
7,1,1,5,5,92,2528.1,86.3,22.0,0.55,4.31,1.64,0.94,28.97,62.0,35.3,17.6,89.2,60.58,40.42,44.79,86.95,unload
8,1,1,5,5,91,2502.3,102.4,21.75,0.55,4.25,2.89,1.74,43.18,60.0,60.0,61.1,99.5,60.65,40.21,44.58,86.65,unload
9,1,1,5,5,91,2502.1,116.7,22.07,0.53,4.78,3.24,1.77,56.26,61.6,60.0,60.0,112.8,62.72,41.04,45.42,86.03,unload
10,1,1,5,5,91,2504.5,131.6,22.16,0.53,4.92,3.86,1.33,70.8,61.7,60.0,18.2,125.2,62.08,41.04,45.42,86.26,unload
11,1,1,5,5,91,2507.6,146.5,22.08,0.53,4.58,4.66,1.95,84.72,62.1,60.0,59.4,143.2,62.83,41.46,45.83,86.35,unload
12,1,1,5,5,91,2497.0,160.3,21.7,0.55,5.43,5.92,1.47,97.28,55.4,64.7,24.5,158.6,63.56,42.08,46.46,86.08,unload
13,1,1,5,5,91,2502.9,174.4,21.9,0.47,5.58,7.34,2.49,108.72,54.2,71.0,62.4,170.9,63.1,42.29,46.67,85.99,unload
14,1,1,5,5,90,2477.7,190.1,21.8,0.55,6.1,8.48,1.79,123.34,52.9,75.5,30.9,183.7,63.85,42.5,46.88,85.41,unload
15,1,1,5,5,90,2472.8,203.2,22.01,0.5,6.24,9.5,2.64,134.34,62.2,85.8,60.3,195.0,65.77,43.12,47.5,84.79,unload
16,1,1,5,5,90,2473.6,216.9,22.2,0.56,6.69,12.08,2.22,145.29,59.0,92.5,35.0,209.3,65.79,43.54,47.92,84.62,unload
